text,expected_label
Tesla shares fell after the company reported lower-than-expected quarterly deliveries amid rising competition in China.,Negative
Apple reported stronger-than-expected revenue as services growth continued to support margins.,Positive
The company announced that its board will meet next week to review the quarterly financial report.,Neutral
Nvidia shares rose after analysts lifted their revenue forecast due to strong demand for AI chips.,Positive
The bank warned that higher interest rates could increase credit losses in the next quarter.,Negative
Microsoft said it completed the acquisition and will provide more details in its next earnings call.,Neutral
Shares tumbled after the company issued weak guidance and reported margin pressure.,Negative
HSBC announced a new share buyback program after reporting better-than-expected profit.,Positive
The retailer opened three new stores and maintained its previous full-year outlook.,Neutral
The airline faces regulatory investigation after repeated flight cancellations and customer complaints.,Negative
